# flux  dens met   OH    logU
  0.818 2.0  0.002 7.67  -4.0
  0.22  2.0  0.002 7.67  -3.5
  0.046 2.0  0.002 7.67  -3.0
  0.008 2.0  0.002 7.67  -2.5
  0.001 2.0  0.002 7.67  -2.0
  0.0   2.0  0.002 7.67  -1.5
  0.0   2.0  0.002 7.67  -1.0
  1.145 2.0  0.003 7.846 -4.0
  0.309 2.0  0.003 7.846 -3.5
  0.064 2.0  0.003 7.846 -3.0
  0.011 2.0  0.003 7.846 -2.5
  0.002 2.0  0.003 7.846 -2.0
  0.0   2.0  0.003 7.846 -1.5
  0.0   2.0  0.003 7.846 -1.0
  1.439 2.0  0.004 7.971 -4.0
  0.39  2.0  0.004 7.971 -3.5
  0.081 2.0  0.004 7.971 -3.0
  0.014 2.0  0.004 7.971 -2.5
  0.002 2.0  0.004 7.971 -2.0
  0.0   2.0  0.004 7.971 -1.5
  0.0   2.0  0.004 7.971 -1.0
  1.972 2.0  0.006 8.147 -4.0
  0.534 2.0  0.006 8.147 -3.5
  0.111 2.0  0.006 8.147 -3.0
  0.019 2.0  0.006 8.147 -2.5
  0.003 2.0  0.006 8.147 -2.0
  0.001 2.0  0.006 8.147 -1.5
  0.0   2.0  0.006 8.147 -1.0
  2.35  2.0  0.008 8.272 -4.0
  0.645 2.0  0.008 8.272 -3.5
  0.136 2.0  0.008 8.272 -3.0
  0.024 2.0  0.008 8.272 -2.5
  0.004 2.0  0.008 8.272 -2.0
  0.001 2.0  0.008 8.272 -1.5
  0.001 2.0  0.008 8.272 -1.0
  2.61  2.0  0.01  8.369 -4.0
  0.728 2.0  0.01  8.369 -3.5
  0.157 2.0  0.01  8.369 -3.0
  0.029 2.0  0.01  8.369 -2.5
  0.006 2.0  0.01  8.369 -2.0
  0.002 2.0  0.01  8.369 -1.5
  0.001 2.0  0.01  8.369 -1.0
  2.924 2.0  0.014 8.515 -4.0
  0.84  2.0  0.014 8.515 -3.5
  0.193 2.0  0.014 8.515 -3.0
  0.038 2.0  0.014 8.515 -2.5
  0.008 2.0  0.014 8.515 -2.0
  0.002 2.0  0.014 8.515 -1.5
  0.001 2.0  0.014 8.515 -1.0
  2.957 2.0  0.02  8.67  -4.0
  0.889 2.0  0.02  8.67  -3.5
  0.224 2.0  0.02  8.67  -3.0
  0.051 2.0  0.02  8.67  -2.5
  0.012 2.0  0.02  8.67  -2.0
  0.004 2.0  0.02  8.67  -1.5
  0.002 2.0  0.02  8.67  -1.0
  2.16  2.0  0.04  8.971 -4.0
  0.712 2.0  0.04  8.971 -3.5
  0.219 2.0  0.04  8.971 -3.0
  0.069 2.0  0.04  8.971 -2.5
  0.025 2.0  0.04  8.971 -2.0
  0.01  2.0  0.04  8.971 -1.5
  0.004 2.0  0.04  8.971 -1.0
  0.757 3.0  0.002 7.67  -4.0
  0.201 3.0  0.002 7.67  -3.5
  0.041 3.0  0.002 7.67  -3.0
  0.007 3.0  0.002 7.67  -2.5
  0.001 3.0  0.002 7.67  -2.0
  0.0   3.0  0.002 7.67  -1.5
  0.0   3.0  0.002 7.67  -1.0
  1.064 3.0  0.003 7.846 -4.0
  0.282 3.0  0.003 7.846 -3.5
  0.057 3.0  0.003 7.846 -3.0
  0.01  3.0  0.003 7.846 -2.5
  0.002 3.0  0.003 7.846 -2.0
  0.0   3.0  0.003 7.846 -1.5
  0.0   3.0  0.003 7.846 -1.0
  1.342 3.0  0.004 7.971 -4.0
  0.358 3.0  0.004 7.971 -3.5
  0.073 3.0  0.004 7.971 -3.0
  0.012 3.0  0.004 7.971 -2.5
  0.002 3.0  0.004 7.971 -2.0
  0.0   3.0  0.004 7.971 -1.5
  0.0   3.0  0.004 7.971 -1.0
  1.855 3.0  0.006 8.147 -4.0
  0.496 3.0  0.006 8.147 -3.5
  0.102 3.0  0.006 8.147 -3.0
  0.017 3.0  0.006 8.147 -2.5
  0.003 3.0  0.006 8.147 -2.0
  0.001 3.0  0.006 8.147 -1.5
  0.0   3.0  0.006 8.147 -1.0
  2.237 3.0  0.008 8.272 -4.0
  0.605 3.0  0.008 8.272 -3.5
  0.126 3.0  0.008 8.272 -3.0
  0.022 3.0  0.008 8.272 -2.5
  0.004 3.0  0.008 8.272 -2.0
  0.001 3.0  0.008 8.272 -1.5
  0.001 3.0  0.008 8.272 -1.0
  2.513 3.0  0.01  8.369 -4.0
  0.692 3.0  0.01  8.369 -3.5
  0.148 3.0  0.01  8.369 -3.0
  0.027 3.0  0.01  8.369 -2.5
  0.005 3.0  0.01  8.369 -2.0
  0.001 3.0  0.01  8.369 -1.5
  0.001 3.0  0.01  8.369 -1.0
  2.88  3.0  0.014 8.515 -4.0
  0.817 3.0  0.014 8.515 -3.5
  0.186 3.0  0.014 8.515 -3.0
  0.037 3.0  0.014 8.515 -2.5
  0.008 3.0  0.014 8.515 -2.0
  0.002 3.0  0.014 8.515 -1.5
  0.001 3.0  0.014 8.515 -1.0
  3.009 3.0  0.02  8.67  -4.0
  0.893 3.0  0.02  8.67  -3.5
  0.225 3.0  0.02  8.67  -3.0
  0.051 3.0  0.02  8.67  -2.5
  0.012 3.0  0.02  8.67  -2.0
  0.004 3.0  0.02  8.67  -1.5
  0.002 3.0  0.02  8.67  -1.0
  2.444 3.0  0.04  8.971 -4.0
  0.795 3.0  0.04  8.971 -3.5
  0.245 3.0  0.04  8.971 -3.0
  0.078 3.0  0.04  8.971 -2.5
  0.028 3.0  0.04  8.971 -2.0
  0.01  3.0  0.04  8.971 -1.5
  0.005 3.0  0.04  8.971 -1.0
  0.456 4.0  0.002 7.67  -4.0
  0.114 4.0  0.002 7.67  -3.5
  0.022 4.0  0.002 7.67  -3.0
  0.004 4.0  0.002 7.67  -2.5
  0.001 4.0  0.002 7.67  -2.0
  0.0   4.0  0.002 7.67  -1.5
  0.0   4.0  0.002 7.67  -1.0
  0.646 4.0  0.003 7.846 -4.0
  0.162 4.0  0.003 7.846 -3.5
  0.032 4.0  0.003 7.846 -3.0
  0.005 4.0  0.003 7.846 -2.5
