# flux   dens met   OH    logU
  0.828  2.0  0.002 7.67  -4.0
  0.406  2.0  0.002 7.67  -3.5
  0.171  2.0  0.002 7.67  -3.0
  0.067  2.0  0.002 7.67  -2.5
  0.027  2.0  0.002 7.67  -2.0
  0.012  2.0  0.002 7.67  -1.5
  0.006  2.0  0.002 7.67  -1.0
  1.231  2.0  0.003 7.846 -4.0
  0.607  2.0  0.003 7.846 -3.5
  0.256  2.0  0.003 7.846 -3.0
  0.1    2.0  0.003 7.846 -2.5
  0.041  2.0  0.003 7.846 -2.0
  0.019  2.0  0.003 7.846 -1.5
  0.01   2.0  0.003 7.846 -1.0
  1.618  2.0  0.004 7.971 -4.0
  0.803  2.0  0.004 7.971 -3.5
  0.338  2.0  0.004 7.971 -3.0
  0.131  2.0  0.004 7.971 -2.5
  0.053  2.0  0.004 7.971 -2.0
  0.025  2.0  0.004 7.971 -1.5
  0.014  2.0  0.004 7.971 -1.0
  2.412  2.0  0.006 8.147 -4.0
  1.218  2.0  0.006 8.147 -3.5
  0.514  2.0  0.006 8.147 -3.0
  0.197  2.0  0.006 8.147 -2.5
  0.081  2.0  0.006 8.147 -2.0
  0.04   2.0  0.006 8.147 -1.5
  0.023  2.0  0.006 8.147 -1.0
  3.18   2.0  0.008 8.272 -4.0
  1.634  2.0  0.008 8.272 -3.5
  0.693  2.0  0.008 8.272 -3.0
  0.263  2.0  0.008 8.272 -2.5
  0.107  2.0  0.008 8.272 -2.0
  0.054  2.0  0.008 8.272 -1.5
  0.033  2.0  0.008 8.272 -1.0
  3.911  2.0  0.01  8.369 -4.0
  2.05   2.0  0.01  8.369 -3.5
  0.876  2.0  0.01  8.369 -3.0
  0.329  2.0  0.01  8.369 -2.5
  0.133  2.0  0.01  8.369 -2.0
  0.067  2.0  0.01  8.369 -1.5
  0.042  2.0  0.01  8.369 -1.0
  5.319  2.0  0.014 8.515 -4.0
  2.927  2.0  0.014 8.515 -3.5
  1.276  2.0  0.014 8.515 -3.0
  0.478  2.0  0.014 8.515 -2.5
  0.191  2.0  0.014 8.515 -2.0
  0.098  2.0  0.014 8.515 -1.5
  0.063  2.0  0.014 8.515 -1.0
  7.128  2.0  0.02  8.67  -4.0
  4.245  2.0  0.02  8.67  -3.5
  1.961  2.0  0.02  8.67  -3.0
  0.765  2.0  0.02  8.67  -2.5
  0.301  2.0  0.02  8.67  -2.0
  0.151  2.0  0.02  8.67  -1.5
  0.099  2.0  0.02  8.67  -1.0
  10.889 2.0  0.04  8.971 -4.0
  7.958  2.0  0.04  8.971 -3.5
  4.416  2.0  0.04  8.971 -3.0
  2.001  2.0  0.04  8.971 -2.5
  0.91   2.0  0.04  8.971 -2.0
  0.463  2.0  0.04  8.971 -1.5
  0.277  2.0  0.04  8.971 -1.0
  0.663  3.0  0.002 7.67  -4.0
  0.322  3.0  0.002 7.67  -3.5
  0.136  3.0  0.002 7.67  -3.0
  0.054  3.0  0.002 7.67  -2.5
  0.022  3.0  0.002 7.67  -2.0
  0.01   3.0  0.002 7.67  -1.5
  0.005  3.0  0.002 7.67  -1.0
  0.984  3.0  0.003 7.846 -4.0
  0.48   3.0  0.003 7.846 -3.5
  0.202  3.0  0.003 7.846 -3.0
  0.08   3.0  0.003 7.846 -2.5
  0.034  3.0  0.003 7.846 -2.0
  0.016  3.0  0.003 7.846 -1.5
  0.009  3.0  0.003 7.846 -1.0
  1.289  3.0  0.004 7.971 -4.0
  0.632  3.0  0.004 7.971 -3.5
  0.266  3.0  0.004 7.971 -3.0
  0.105  3.0  0.004 7.971 -2.5
  0.044  3.0  0.004 7.971 -2.0
  0.021  3.0  0.004 7.971 -1.5
  0.012  3.0  0.004 7.971 -1.0
  1.916  3.0  0.006 8.147 -4.0
  0.952  3.0  0.006 8.147 -3.5
  0.402  3.0  0.006 8.147 -3.0
  0.156  3.0  0.006 8.147 -2.5
  0.066  3.0  0.006 8.147 -2.0
  0.033  3.0  0.006 8.147 -1.5
  0.02   3.0  0.006 8.147 -1.0
  2.518  3.0  0.008 8.272 -4.0
  1.27   3.0  0.008 8.272 -3.5
  0.537  3.0  0.008 8.272 -3.0
  0.207  3.0  0.008 8.272 -2.5
  0.087  3.0  0.008 8.272 -2.0
  0.045  3.0  0.008 8.272 -1.5
  0.028  3.0  0.008 8.272 -1.0
  3.088  3.0  0.01  8.369 -4.0
  1.583  3.0  0.01  8.369 -3.5
  0.672  3.0  0.01  8.369 -3.0
  0.256  3.0  0.01  8.369 -2.5
  0.107  3.0  0.01  8.369 -2.0
  0.057  3.0  0.01  8.369 -1.5
  0.037  3.0  0.01  8.369 -1.0
  4.206  3.0  0.014 8.515 -4.0
  2.244  3.0  0.014 8.515 -3.5
  0.966  3.0  0.014 8.515 -3.0
  0.366  3.0  0.014 8.515 -2.5
  0.152  3.0  0.014 8.515 -2.0
  0.082  3.0  0.014 8.515 -1.5
  0.055  3.0  0.014 8.515 -1.0
  5.697  3.0  0.02  8.67  -4.0
  3.26   3.0  0.02  8.67  -3.5
  1.474  3.0  0.02  8.67  -3.0
  0.576  3.0  0.02  8.67  -2.5
  0.234  3.0  0.02  8.67  -2.0
  0.125  3.0  0.02  8.67  -1.5
  0.086  3.0  0.02  8.67  -1.0
  9.291  3.0  0.04  8.971 -4.0
  6.444  3.0  0.04  8.971 -3.5
  3.467  3.0  0.04  8.971 -3.0
  1.575  3.0  0.04  8.971 -2.5
  0.734  3.0  0.04  8.971 -2.0
  0.382  3.0  0.04  8.971 -1.5
  0.246  3.0  0.04  8.971 -1.0
  0.427  4.0  0.002 7.67  -4.0
  0.205  4.0  0.002 7.67  -3.5
  0.087  4.0  0.002 7.67  -3.0
  0.036  4.0  0.002 7.67  -2.5
  0.015  4.0  0.002 7.67  -2.0
  0.007  4.0  0.002 7.67  -1.5
  0.004  4.0  0.002 7.67  -1.0
  0.63   4.0  0.003 7.846 -4.0
  0.303  4.0  0.003 7.846 -3.5
  0.129  4.0  0.003 7.846 -3.0
  0.053  4.0  0.003 7.846 -2.5
  0.023  4.0  0.003 7.846 -2.0
  0.011  4.0  0.003 7.846 -1.5
  0.006  4.0  0.003 7.846 -1.0
  0.821  4.0  0.004 7.971 -4.0
  0.396  4.0  0.004 7.971 -3.5
  0.168  4.0  0.004 7.971 -3.0
  0.068  4.0  0.004 7.971 -2.5
  0.029  4.0  0.004 7.971 -2.0
  0.015  4.0  0.004 7.971 -1.5
  0.009  4.0  0.004 7.971 -1.0
  1.212  4.0  0.006 8.147 -4.0
  0.589  4.0  0.006 8.147 -3.5
  0.251  4.0  0.006 8.147 -3.0
  0.101  4.0  0.006 8.147 -2.5
  0.044  4.0  0.006 8.147 -2.0
  0.023  4.0  0.006 8.147 -1.5
  0.014  4.0  0.006 8.147 -1.0
  1.581  4.0  0.008 8.272 -4.0
  0.776  4.0  0.008 8.272 -3.5
  0.33   4.0  0.008 8.272 -3.0
  0.132  4.0  0.008 8.272 -2.5
  0.058  4.0  0.008 8.272 -2.0
  0.031  4.0  0.008 8.272 -1.5
  0.02   4.0  0.008 8.272 -1.0
  1.926  4.0  0.01  8.369 -4.0
  0.954  4.0  0.01  8.369 -3.5
  0.406  4.0  0.01  8.369 -3.0
  0.16   4.0  0.01  8.369 -2.5
  0.071  4.0  0.01  8.369 -2.0
  0.039  4.0  0.01  8.369 -1.5
  0.026  4.0  0.01  8.369 -1.0
  2.611  4.0  0.014 8.515 -4.0
  1.325  4.0  0.014 8.515 -3.5
  0.567  4.0  0.014 8.515 -3.0
  0.222  4.0  0.014 8.515 -2.5
  0.098  4.0  0.014 8.515 -2.0
  0.056  4.0  0.014 8.515 -1.5
  0.039  4.0  0.014 8.515 -1.0
  3.563  4.0  0.02  8.67  -4.0
  1.903  4.0  0.02  8.67  -3.5
  0.837  4.0  0.02  8.67  -3.0
  0.329  4.0  0.02  8.67  -2.5
  0.143  4.0  0.02  8.67  -2.0
  0.083  4.0  0.02  8.67  -1.5
  0.06   4.0  0.02  8.67  -1.0
  6.139  4.0  0.04  8.971 -4.0
  3.938  4.0  0.04  8.971 -3.5
  2.029  4.0  0.04  8.971 -3.0
  0.923  4.0  0.04  8.971 -2.5
  0.438  4.0  0.04  8.971 -2.0
  0.236  4.0  0.04  8.971 -1.5
  0.169  4.0  0.04  8.971 -1.0
