# flux  dens met   OH    logU
  8.655 2.0  0.002 7.67  -4.0
  8.55  2.0  0.002 7.67  -3.5
  8.479 2.0  0.002 7.67  -3.0
  8.433 2.0  0.002 7.67  -2.5
  8.397 2.0  0.002 7.67  -2.0
  8.367 2.0  0.002 7.67  -1.5
  8.336 2.0  0.002 7.67  -1.0
  8.702 2.0  0.003 7.846 -4.0
  8.611 2.0  0.003 7.846 -3.5
  8.557 2.0  0.003 7.846 -3.0
  8.526 2.0  0.003 7.846 -2.5
  8.501 2.0  0.003 7.846 -2.0
  8.472 2.0  0.003 7.846 -1.5
  8.435 2.0  0.003 7.846 -1.0
  8.747 2.0  0.004 7.971 -4.0
  8.668 2.0  0.004 7.971 -3.5
  8.626 2.0  0.004 7.971 -3.0
  8.608 2.0  0.004 7.971 -2.5
  8.591 2.0  0.004 7.971 -2.0
  8.562 2.0  0.004 7.971 -1.5
  8.521 2.0  0.004 7.971 -1.0
  8.811 2.0  0.006 8.147 -4.0
  8.747 2.0  0.006 8.147 -3.5
  8.723 2.0  0.006 8.147 -3.0
  8.719 2.0  0.006 8.147 -2.5
  8.709 2.0  0.006 8.147 -2.0
  8.678 2.0  0.006 8.147 -1.5
  8.632 2.0  0.006 8.147 -1.0
  8.871 2.0  0.008 8.272 -4.0
  8.818 2.0  0.008 8.272 -3.5
  8.804 2.0  0.008 8.272 -3.0
  8.812 2.0  0.008 8.272 -2.5
  8.807 2.0  0.008 8.272 -2.0
  8.776 2.0  0.008 8.272 -1.5
  8.725 2.0  0.008 8.272 -1.0
  8.927 2.0  0.01  8.369 -4.0
  8.881 2.0  0.01  8.369 -3.5
  8.872 2.0  0.01  8.369 -3.0
  8.89  2.0  0.01  8.369 -2.5
  8.89  2.0  0.01  8.369 -2.0
  8.86  2.0  0.01  8.369 -1.5
  8.807 2.0  0.01  8.369 -1.0
  9.021 2.0  0.014 8.515 -4.0
  8.983 2.0  0.014 8.515 -3.5
  8.98  2.0  0.014 8.515 -3.0
  9.009 2.0  0.014 8.515 -2.5
  9.017 2.0  0.014 8.515 -2.0
  8.988 2.0  0.014 8.515 -1.5
  8.934 2.0  0.014 8.515 -1.0
  9.142 2.0  0.02  8.67  -4.0
  9.111 2.0  0.02  8.67  -3.5
  9.106 2.0  0.02  8.67  -3.0
  9.139 2.0  0.02  8.67  -2.5
  9.161 2.0  0.02  8.67  -2.0
  9.142 2.0  0.02  8.67  -1.5
  9.093 2.0  0.02  8.67  -1.0
  9.424 2.0  0.04  8.971 -4.0
  9.402 2.0  0.04  8.971 -3.5
  9.392 2.0  0.04  8.971 -3.0
  9.402 2.0  0.04  8.971 -2.5
  9.436 2.0  0.04  8.971 -2.0
  9.467 2.0  0.04  8.971 -1.5
  9.462 2.0  0.04  8.971 -1.0
  8.65  3.0  0.002 7.67  -4.0
  8.545 3.0  0.002 7.67  -3.5
  8.475 3.0  0.002 7.67  -3.0
  8.429 3.0  0.002 7.67  -2.5
  8.394 3.0  0.002 7.67  -2.0
  8.366 3.0  0.002 7.67  -1.5
  8.337 3.0  0.002 7.67  -1.0
  8.694 3.0  0.003 7.846 -4.0
  8.603 3.0  0.003 7.846 -3.5
  8.547 3.0  0.003 7.846 -3.0
  8.517 3.0  0.003 7.846 -2.5
  8.493 3.0  0.003 7.846 -2.0
  8.466 3.0  0.003 7.846 -1.5
  8.432 3.0  0.003 7.846 -1.0
  8.737 3.0  0.004 7.971 -4.0
  8.656 3.0  0.004 7.971 -3.5
  8.614 3.0  0.004 7.971 -3.0
  8.594 3.0  0.004 7.971 -2.5
  8.578 3.0  0.004 7.971 -2.0
  8.552 3.0  0.004 7.971 -1.5
  8.514 3.0  0.004 7.971 -1.0
  8.797 3.0  0.006 8.147 -4.0
  8.731 3.0  0.006 8.147 -3.5
  8.703 3.0  0.006 8.147 -3.0
  8.697 3.0  0.006 8.147 -2.5
  8.688 3.0  0.006 8.147 -2.0
  8.66  3.0  0.006 8.147 -1.5
  8.617 3.0  0.006 8.147 -1.0
  8.854 3.0  0.008 8.272 -4.0
  8.798 3.0  0.008 8.272 -3.5
  8.78  3.0  0.008 8.272 -3.0
  8.783 3.0  0.008 8.272 -2.5
  8.777 3.0  0.008 8.272 -2.0
  8.749 3.0  0.008 8.272 -1.5
  8.703 3.0  0.008 8.272 -1.0
  8.907 3.0  0.01  8.369 -4.0
  8.858 3.0  0.01  8.369 -3.5
  8.844 3.0  0.01  8.369 -3.0
  8.853 3.0  0.01  8.369 -2.5
  8.852 3.0  0.01  8.369 -2.0
  8.825 3.0  0.01  8.369 -1.5
  8.778 3.0  0.01  8.369 -1.0
  8.995 3.0  0.014 8.515 -4.0
  8.956 3.0  0.014 8.515 -3.5
  8.944 3.0  0.014 8.515 -3.0
  8.96  3.0  0.014 8.515 -2.5
  8.962 3.0  0.014 8.515 -2.0
  8.937 3.0  0.014 8.515 -1.5
  8.89  3.0  0.014 8.515 -1.0
  9.111 3.0  0.02  8.67  -4.0
  9.079 3.0  0.02  8.67  -3.5
  9.065 3.0  0.02  8.67  -3.0
  9.078 3.0  0.02  8.67  -2.5
  9.084 3.0  0.02  8.67  -2.0
  9.067 3.0  0.02  8.67  -1.5
  9.027 3.0  0.02  8.67  -1.0
  9.376 3.0  0.04  8.971 -4.0
  9.353 3.0  0.04  8.971 -3.5
  9.336 3.0  0.04  8.971 -3.0
  9.323 3.0  0.04  8.971 -2.5
  9.32  3.0  0.04  8.971 -2.0
  9.326 3.0  0.04  8.971 -1.5
  9.33  3.0  0.04  8.971 -1.0
  8.637 4.0  0.002 7.67  -4.0
  8.53  4.0  0.002 7.67  -3.5
  8.464 4.0  0.002 7.67  -3.0
  8.425 4.0  0.002 7.67  -2.5
  8.394 4.0  0.002 7.67  -2.0
  8.375 4.0  0.002 7.67  -1.5
  8.363 4.0  0.002 7.67  -1.0
  8.674 4.0  0.003 7.846 -4.0
  8.578 4.0  0.003 7.846 -3.5
  8.528 4.0  0.003 7.846 -3.0
  8.506 4.0  0.003 7.846 -2.5
  8.487 4.0  0.003 7.846 -2.0
  8.469 4.0  0.003 7.846 -1.5
  8.45  4.0  0.003 7.846 -1.0
  8.711 4.0  0.004 7.971 -4.0
  8.624 4.0  0.004 7.971 -3.5
  8.587 4.0  0.004 7.971 -3.0
  8.577 4.0  0.004 7.971 -2.5
  8.567 4.0  0.004 7.971 -2.0
  8.548 4.0  0.004 7.971 -1.5
  8.525 4.0  0.004 7.971 -1.0
  8.759 4.0  0.006 8.147 -4.0
  8.687 4.0  0.006 8.147 -3.5
  8.665 4.0  0.006 8.147 -3.0
  8.669 4.0  0.006 8.147 -2.5
  8.667 4.0  0.006 8.147 -2.0
  8.647 4.0  0.006 8.147 -1.5
  8.618 4.0  0.006 8.147 -1.0
  8.807 4.0  0.008 8.272 -4.0
  8.745 4.0  0.008 8.272 -3.5
  8.733 4.0  0.008 8.272 -3.0
  8.746 4.0  0.008 8.272 -2.5
  8.749 4.0  0.008 8.272 -2.0
  8.728 4.0  0.008 8.272 -1.5
  8.694 4.0  0.008 8.272 -1.0
  8.854 4.0  0.01  8.369 -4.0
  8.799 4.0  0.01  8.369 -3.5
  8.789 4.0  0.01  8.369 -3.0
  8.809 4.0  0.01  8.369 -2.5
  8.816 4.0  0.01  8.369 -2.0
  8.796 4.0  0.01  8.369 -1.5
  8.76  4.0  0.01  8.369 -1.0
  8.933 4.0  0.014 8.515 -4.0
  8.887 4.0  0.014 8.515 -3.5
  8.878 4.0  0.014 8.515 -3.0
  8.903 4.0  0.014 8.515 -2.5
  8.913 4.0  0.014 8.515 -2.0
  8.895 4.0  0.014 8.515 -1.5
  8.858 4.0  0.014 8.515 -1.0
  9.041 4.0  0.02  8.67  -4.0
  9.003 4.0  0.02  8.67  -3.5
  8.988 4.0  0.02  8.67  -3.0
  9.004 4.0  0.02  8.67  -2.5
  9.017 4.0  0.02  8.67  -2.0
  9.008 4.0  0.02  8.67  -1.5
  8.979 4.0  0.02  8.67  -1.0
  9.3   4.0  0.04  8.971 -4.0
  9.273 4.0  0.04  8.971 -3.5
  9.251 4.0  0.04  8.971 -3.0
  9.225 4.0  0.04  8.971 -2.5
  9.216 4.0  0.04  8.971 -2.0
  9.228 4.0  0.04  8.971 -1.5
  9.249 4.0  0.04  8.971 -1.0
