# flux   dens met   OH    logU
  15.435 2.0  0.002 7.67  -4.0
  15.24  2.0  0.002 7.67  -3.5
  15.087 2.0  0.002 7.67  -3.0
  14.971 2.0  0.002 7.67  -2.5
  14.874 2.0  0.002 7.67  -2.0
  14.799 2.0  0.002 7.67  -1.5
  14.727 2.0  0.002 7.67  -1.0
  15.505 2.0  0.003 7.846 -4.0
  15.33  2.0  0.003 7.846 -3.5
  15.206 2.0  0.003 7.846 -3.0
  15.123 2.0  0.003 7.846 -2.5
  15.052 2.0  0.003 7.846 -2.0
  14.982 2.0  0.003 7.846 -1.5
  14.903 2.0  0.003 7.846 -1.0
  15.576 2.0  0.004 7.971 -4.0
  15.417 2.0  0.004 7.971 -3.5
  15.319 2.0  0.004 7.971 -3.0
  15.263 2.0  0.004 7.971 -2.5
  15.211 2.0  0.004 7.971 -2.0
  15.144 2.0  0.004 7.971 -1.5
  15.059 2.0  0.004 7.971 -1.0
  15.684 2.0  0.006 8.147 -4.0
  15.553 2.0  0.006 8.147 -3.5
  15.492 2.0  0.006 8.147 -3.0
  15.471 2.0  0.006 8.147 -2.5
  15.439 2.0  0.006 8.147 -2.0
  15.371 2.0  0.006 8.147 -1.5
  15.276 2.0  0.006 8.147 -1.0
  15.794 2.0  0.008 8.272 -4.0
  15.685 2.0  0.008 8.272 -3.5
  15.649 2.0  0.008 8.272 -3.0
  15.656 2.0  0.008 8.272 -2.5
  15.637 2.0  0.008 8.272 -2.0
  15.57  2.0  0.008 8.272 -1.5
  15.468 2.0  0.008 8.272 -1.0
  15.898 2.0  0.01  8.369 -4.0
  15.802 2.0  0.01  8.369 -3.5
  15.781 2.0  0.01  8.369 -3.0
  15.809 2.0  0.01  8.369 -2.5
  15.804 2.0  0.01  8.369 -2.0
  15.739 2.0  0.01  8.369 -1.5
  15.633 2.0  0.01  8.369 -1.0
  16.083 2.0  0.014 8.515 -4.0
  16.006 2.0  0.014 8.515 -3.5
  15.998 2.0  0.014 8.515 -3.0
  16.053 2.0  0.014 8.515 -2.5
  16.068 2.0  0.014 8.515 -2.0
  16.007 2.0  0.014 8.515 -1.5
  15.897 2.0  0.014 8.515 -1.0
  16.338 2.0  0.02  8.67  -4.0
  16.274 2.0  0.02  8.67  -3.5
  16.262 2.0  0.02  8.67  -3.0
  16.326 2.0  0.02  8.67  -2.5
  16.373 2.0  0.02  8.67  -2.0
  16.335 2.0  0.02  8.67  -1.5
  16.235 2.0  0.02  8.67  -1.0
  16.943 2.0  0.04  8.971 -4.0
  16.896 2.0  0.04  8.971 -3.5
  16.871 2.0  0.04  8.971 -3.0
  16.888 2.0  0.04  8.971 -2.5
  16.958 2.0  0.04  8.971 -2.0
  17.023 2.0  0.04  8.971 -1.5
  17.003 2.0  0.04  8.971 -1.0
  15.427 3.0  0.002 7.67  -4.0
  15.232 3.0  0.002 7.67  -3.5
  15.08  3.0  0.002 7.67  -3.0
  14.966 3.0  0.002 7.67  -2.5
  14.872 3.0  0.002 7.67  -2.0
  14.8   3.0  0.002 7.67  -1.5
  14.732 3.0  0.002 7.67  -1.0
  15.493 3.0  0.003 7.846 -4.0
  15.317 3.0  0.003 7.846 -3.5
  15.192 3.0  0.003 7.846 -3.0
  15.109 3.0  0.003 7.846 -2.5
  15.039 3.0  0.003 7.846 -2.0
  14.974 3.0  0.003 7.846 -1.5
  14.9   3.0  0.003 7.846 -1.0
  15.56  3.0  0.004 7.971 -4.0
  15.399 3.0  0.004 7.971 -3.5
  15.298 3.0  0.004 7.971 -3.0
  15.24  3.0  0.004 7.971 -2.5
  15.189 3.0  0.004 7.971 -2.0
  15.127 3.0  0.004 7.971 -1.5
  15.047 3.0  0.004 7.971 -1.0
  15.661 3.0  0.006 8.147 -4.0
  15.526 3.0  0.006 8.147 -3.5
  15.458 3.0  0.006 8.147 -3.0
  15.43  3.0  0.006 8.147 -2.5
  15.398 3.0  0.006 8.147 -2.0
  15.337 3.0  0.006 8.147 -1.5
  15.249 3.0  0.006 8.147 -1.0
  15.764 3.0  0.008 8.272 -4.0
  15.649 3.0  0.008 8.272 -3.5
  15.603 3.0  0.008 8.272 -3.0
  15.597 3.0  0.008 8.272 -2.5
  15.577 3.0  0.008 8.272 -2.0
  15.517 3.0  0.008 8.272 -1.5
  15.425 3.0  0.008 8.272 -1.0
  15.86  3.0  0.01  8.369 -4.0
  15.759 3.0  0.01  8.369 -3.5
  15.724 3.0  0.01  8.369 -3.0
  15.735 3.0  0.01  8.369 -2.5
  15.725 3.0  0.01  8.369 -2.0
  15.668 3.0  0.01  8.369 -1.5
  15.574 3.0  0.01  8.369 -1.0
  16.033 3.0  0.014 8.515 -4.0
  15.951 3.0  0.014 8.515 -3.5
  15.925 3.0  0.014 8.515 -3.0
  15.95  3.0  0.014 8.515 -2.5
  15.952 3.0  0.014 8.515 -2.0
  15.899 3.0  0.014 8.515 -1.5
  15.806 3.0  0.014 8.515 -1.0
  16.273 3.0  0.02  8.67  -4.0
  16.205 3.0  0.02  8.67  -3.5
  16.174 3.0  0.02  8.67  -3.0
  16.193 3.0  0.02  8.67  -2.5
  16.206 3.0  0.02  8.67  -2.0
  16.171 3.0  0.02  8.67  -1.5
  16.094 3.0  0.02  8.67  -1.0
  16.834 3.0  0.04  8.971 -4.0
  16.787 3.0  0.04  8.971 -3.5
  16.744 3.0  0.04  8.971 -3.0
  16.707 3.0  0.04  8.971 -2.5
  16.695 3.0  0.04  8.971 -2.0
  16.703 3.0  0.04  8.971 -1.5
  16.709 3.0  0.04  8.971 -1.0
  15.405 4.0  0.002 7.67  -4.0
  15.207 4.0  0.002 7.67  -3.5
  15.063 4.0  0.002 7.67  -3.0
  14.961 4.0  0.002 7.67  -2.5
  14.878 4.0  0.002 7.67  -2.0
  14.825 4.0  0.002 7.67  -1.5
  14.793 4.0  0.002 7.67  -1.0
  15.461 4.0  0.003 7.846 -4.0
  15.278 4.0  0.003 7.846 -3.5
  15.161 4.0  0.003 7.846 -3.0
  15.092 4.0  0.003 7.846 -2.5
  15.035 4.0  0.003 7.846 -2.0
  14.986 4.0  0.003 7.846 -1.5
  14.943 4.0  0.003 7.846 -1.0
  15.517 4.0  0.004 7.971 -4.0
  15.348 4.0  0.004 7.971 -3.5
  15.254 4.0  0.004 7.971 -3.0
  15.212 4.0  0.004 7.971 -2.5
  15.174 4.0  0.004 7.971 -2.0
  15.126 4.0  0.004 7.971 -1.5
  15.076 4.0  0.004 7.971 -1.0
  15.598 4.0  0.006 8.147 -4.0
  15.451 4.0  0.006 8.147 -3.5
  15.391 4.0  0.006 8.147 -3.0
  15.382 4.0  0.006 8.147 -2.5
  15.363 4.0  0.006 8.147 -2.0
  15.315 4.0  0.006 8.147 -1.5
  15.253 4.0  0.006 8.147 -1.0
  15.682 4.0  0.008 8.272 -4.0
  15.554 4.0  0.008 8.272 -3.5
  15.517 4.0  0.008 8.272 -3.0
  15.53  4.0  0.008 8.272 -2.5
  15.525 4.0  0.008 8.272 -2.0
  15.477 4.0  0.008 8.272 -1.5
  15.409 4.0  0.008 8.272 -1.0
  15.762 4.0  0.01  8.369 -4.0
  15.647 4.0  0.01  8.369 -3.5
  15.619 4.0  0.01  8.369 -3.0
  15.649 4.0  0.01  8.369 -2.5
  15.655 4.0  0.01  8.369 -2.0
  15.611 4.0  0.01  8.369 -1.5
  15.539 4.0  0.01  8.369 -1.0
  15.908 4.0  0.014 8.515 -4.0
  15.813 4.0  0.014 8.515 -3.5
  15.791 4.0  0.014 8.515 -3.0
  15.833 4.0  0.014 8.515 -2.5
  15.85  4.0  0.014 8.515 -2.0
  15.812 4.0  0.014 8.515 -1.5
  15.741 4.0  0.014 8.515 -1.0
  16.123 4.0  0.02  8.67  -4.0
  16.045 4.0  0.02  8.67  -3.5
  16.011 4.0  0.02  8.67  -3.0
  16.039 4.0  0.02  8.67  -2.5
  16.064 4.0  0.02  8.67  -2.0
  16.046 4.0  0.02  8.67  -1.5
  15.992 4.0  0.02  8.67  -1.0
  16.663 4.0  0.04  8.971 -4.0
  16.607 4.0  0.04  8.971 -3.5
  16.554 4.0  0.04  8.971 -3.0
  16.506 4.0  0.04  8.971 -2.5
  16.485 4.0  0.04  8.971 -2.0
  16.496 4.0  0.04  8.971 -1.5
  16.533 4.0  0.04  8.971 -1.0
