# flux  dens met   OH    logU
  100.0 2.0  0.002 7.67  -4.0
  100.0 2.0  0.002 7.67  -3.5
  100.0 2.0  0.002 7.67  -3.0
  100.0 2.0  0.002 7.67  -2.5
  100.0 2.0  0.002 7.67  -2.0
  100.0 2.0  0.002 7.67  -1.5
  100.0 2.0  0.002 7.67  -1.0
  100.0 2.0  0.003 7.846 -4.0
  100.0 2.0  0.003 7.846 -3.5
  100.0 2.0  0.003 7.846 -3.0
  100.0 2.0  0.003 7.846 -2.5
  100.0 2.0  0.003 7.846 -2.0
  100.0 2.0  0.003 7.846 -1.5
  100.0 2.0  0.003 7.846 -1.0
  100.0 2.0  0.004 7.971 -4.0
  100.0 2.0  0.004 7.971 -3.5
  100.0 2.0  0.004 7.971 -3.0
  100.0 2.0  0.004 7.971 -2.5
  100.0 2.0  0.004 7.971 -2.0
  100.0 2.0  0.004 7.971 -1.5
  100.0 2.0  0.004 7.971 -1.0
  100.0 2.0  0.006 8.147 -4.0
  100.0 2.0  0.006 8.147 -3.5
  100.0 2.0  0.006 8.147 -3.0
  100.0 2.0  0.006 8.147 -2.5
  100.0 2.0  0.006 8.147 -2.0
  100.0 2.0  0.006 8.147 -1.5
  100.0 2.0  0.006 8.147 -1.0
  100.0 2.0  0.008 8.272 -4.0
  100.0 2.0  0.008 8.272 -3.5
  100.0 2.0  0.008 8.272 -3.0
  100.0 2.0  0.008 8.272 -2.5
  100.0 2.0  0.008 8.272 -2.0
  100.0 2.0  0.008 8.272 -1.5
  100.0 2.0  0.008 8.272 -1.0
  100.0 2.0  0.01  8.369 -4.0
  100.0 2.0  0.01  8.369 -3.5
  100.0 2.0  0.01  8.369 -3.0
  100.0 2.0  0.01  8.369 -2.5
  100.0 2.0  0.01  8.369 -2.0
  100.0 2.0  0.01  8.369 -1.5
  100.0 2.0  0.01  8.369 -1.0
  100.0 2.0  0.014 8.515 -4.0
  100.0 2.0  0.014 8.515 -3.5
  100.0 2.0  0.014 8.515 -3.0
  100.0 2.0  0.014 8.515 -2.5
  100.0 2.0  0.014 8.515 -2.0
  100.0 2.0  0.014 8.515 -1.5
  100.0 2.0  0.014 8.515 -1.0
  100.0 2.0  0.02  8.67  -4.0
  100.0 2.0  0.02  8.67  -3.5
  100.0 2.0  0.02  8.67  -3.0
  100.0 2.0  0.02  8.67  -2.5
  100.0 2.0  0.02  8.67  -2.0
  100.0 2.0  0.02  8.67  -1.5
  100.0 2.0  0.02  8.67  -1.0
  100.0 2.0  0.04  8.971 -4.0
  100.0 2.0  0.04  8.971 -3.5
  100.0 2.0  0.04  8.971 -3.0
  100.0 2.0  0.04  8.971 -2.5
  100.0 2.0  0.04  8.971 -2.0
  100.0 2.0  0.04  8.971 -1.5
  100.0 2.0  0.04  8.971 -1.0
  100.0 3.0  0.002 7.67  -4.0
  100.0 3.0  0.002 7.67  -3.5
  100.0 3.0  0.002 7.67  -3.0
  100.0 3.0  0.002 7.67  -2.5
  100.0 3.0  0.002 7.67  -2.0
  100.0 3.0  0.002 7.67  -1.5
  100.0 3.0  0.002 7.67  -1.0
  100.0 3.0  0.003 7.846 -4.0
  100.0 3.0  0.003 7.846 -3.5
  100.0 3.0  0.003 7.846 -3.0
  100.0 3.0  0.003 7.846 -2.5
  100.0 3.0  0.003 7.846 -2.0
  100.0 3.0  0.003 7.846 -1.5
  100.0 3.0  0.003 7.846 -1.0
  100.0 3.0  0.004 7.971 -4.0
  100.0 3.0  0.004 7.971 -3.5
  100.0 3.0  0.004 7.971 -3.0
  100.0 3.0  0.004 7.971 -2.5
  100.0 3.0  0.004 7.971 -2.0
  100.0 3.0  0.004 7.971 -1.5
  100.0 3.0  0.004 7.971 -1.0
  100.0 3.0  0.006 8.147 -4.0
  100.0 3.0  0.006 8.147 -3.5
  100.0 3.0  0.006 8.147 -3.0
  100.0 3.0  0.006 8.147 -2.5
  100.0 3.0  0.006 8.147 -2.0
  100.0 3.0  0.006 8.147 -1.5
  100.0 3.0  0.006 8.147 -1.0
  100.0 3.0  0.008 8.272 -4.0
  100.0 3.0  0.008 8.272 -3.5
  100.0 3.0  0.008 8.272 -3.0
  100.0 3.0  0.008 8.272 -2.5
  100.0 3.0  0.008 8.272 -2.0
  100.0 3.0  0.008 8.272 -1.5
  100.0 3.0  0.008 8.272 -1.0
  100.0 3.0  0.01  8.369 -4.0
  100.0 3.0  0.01  8.369 -3.5
  100.0 3.0  0.01  8.369 -3.0
  100.0 3.0  0.01  8.369 -2.5
  100.0 3.0  0.01  8.369 -2.0
  100.0 3.0  0.01  8.369 -1.5
  100.0 3.0  0.01  8.369 -1.0
  100.0 3.0  0.014 8.515 -4.0
  100.0 3.0  0.014 8.515 -3.5
  100.0 3.0  0.014 8.515 -3.0
  100.0 3.0  0.014 8.515 -2.5
  100.0 3.0  0.014 8.515 -2.0
  100.0 3.0  0.014 8.515 -1.5
  100.0 3.0  0.014 8.515 -1.0
  100.0 3.0  0.02  8.67  -4.0
  100.0 3.0  0.02  8.67  -3.5
  100.0 3.0  0.02  8.67  -3.0
  100.0 3.0  0.02  8.67  -2.5
  100.0 3.0  0.02  8.67  -2.0
  100.0 3.0  0.02  8.67  -1.5
  100.0 3.0  0.02  8.67  -1.0
  100.0 3.0  0.04  8.971 -4.0
  100.0 3.0  0.04  8.971 -3.5
  100.0 3.0  0.04  8.971 -3.0
  100.0 3.0  0.04  8.971 -2.5
  100.0 3.0  0.04  8.971 -2.0
  100.0 3.0  0.04  8.971 -1.5
  100.0 3.0  0.04  8.971 -1.0
  100.0 4.0  0.002 7.67  -4.0
  100.0 4.0  0.002 7.67  -3.5
  100.0 4.0  0.002 7.67  -3.0
  100.0 4.0  0.002 7.67  -2.5
  100.0 4.0  0.002 7.67  -2.0
  100.0 4.0  0.002 7.67  -1.5
  100.0 4.0  0.002 7.67  -1.0
  100.0 4.0  0.003 7.846 -4.0
  100.0 4.0  0.003 7.846 -3.5
  100.0 4.0  0.003 7.846 -3.0
  100.0 4.0  0.003 7.846 -2.5
  100.0 4.0  0.003 7.846 -2.0
  100.0 4.0  0.003 7.846 -1.5
  100.0 4.0  0.003 7.846 -1.0
  100.0 4.0  0.004 7.971 -4.0
  100.0 4.0  0.004 7.971 -3.5
  100.0 4.0  0.004 7.971 -3.0
  100.0 4.0  0.004 7.971 -2.5
  100.0 4.0  0.004 7.971 -2.0
  100.0 4.0  0.004 7.971 -1.5
  100.0 4.0  0.004 7.971 -1.0
  100.0 4.0  0.006 8.147 -4.0
  100.0 4.0  0.006 8.147 -3.5
  100.0 4.0  0.006 8.147 -3.0
  100.0 4.0  0.006 8.147 -2.5
  100.0 4.0  0.006 8.147 -2.0
  100.0 4.0  0.006 8.147 -1.5
  100.0 4.0  0.006 8.147 -1.0
  100.0 4.0  0.008 8.272 -4.0
  100.0 4.0  0.008 8.272 -3.5
  100.0 4.0  0.008 8.272 -3.0
  100.0 4.0  0.008 8.272 -2.5
  100.0 4.0  0.008 8.272 -2.0
  100.0 4.0  0.008 8.272 -1.5
  100.0 4.0  0.008 8.272 -1.0
  100.0 4.0  0.01  8.369 -4.0
  100.0 4.0  0.01  8.369 -3.5
  100.0 4.0  0.01  8.369 -3.0
  100.0 4.0  0.01  8.369 -2.5
  100.0 4.0  0.01  8.369 -2.0
  100.0 4.0  0.01  8.369 -1.5
  100.0 4.0  0.01  8.369 -1.0
  100.0 4.0  0.014 8.515 -4.0
  100.0 4.0  0.014 8.515 -3.5
  100.0 4.0  0.014 8.515 -3.0
  100.0 4.0  0.014 8.515 -2.5
  100.0 4.0  0.014 8.515 -2.0
  100.0 4.0  0.014 8.515 -1.5
  100.0 4.0  0.014 8.515 -1.0
  100.0 4.0  0.02  8.67  -4.0
  100.0 4.0  0.02  8.67  -3.5
  100.0 4.0  0.02  8.67  -3.0
  100.0 4.0  0.02  8.67  -2.5
  100.0 4.0  0.02  8.67  -2.0
  100.0 4.0  0.02  8.67  -1.5
  100.0 4.0  0.02  8.67  -1.0
  100.0 4.0  0.04  8.971 -4.0
  100.0 4.0  0.04  8.971 -3.5
  100.0 4.0  0.04  8.971 -3.0
  100.0 4.0  0.04  8.971 -2.5
  100.0 4.0  0.04  8.971 -2.0
  100.0 4.0  0.04  8.971 -1.5
  100.0 4.0  0.04  8.971 -1.0
