# flux    dens met   OH    logU
  281.783 2.0  0.002 7.67  -4.0
  280.979 2.0  0.002 7.67  -3.5
  279.726 2.0  0.002 7.67  -3.0
  278.404 2.0  0.002 7.67  -2.5
  277.288 2.0  0.002 7.67  -2.0
  276.368 2.0  0.002 7.67  -1.5
  275.401 2.0  0.002 7.67  -1.0
  281.436 2.0  0.003 7.846 -4.0
  280.592 2.0  0.003 7.846 -3.5
  279.437 2.0  0.003 7.846 -3.0
  278.364 2.0  0.003 7.846 -2.5
  277.517 2.0  0.003 7.846 -2.0
  276.662 2.0  0.003 7.846 -1.5
  275.797 2.0  0.003 7.846 -1.0
  281.11  2.0  0.004 7.971 -4.0
  280.282 2.0  0.004 7.971 -3.5
  279.289 2.0  0.004 7.971 -3.0
  278.464 2.0  0.004 7.971 -2.5
  277.82  2.0  0.004 7.971 -2.0
  277.0   2.0  0.004 7.971 -1.5
  276.191 2.0  0.004 7.971 -1.0
  280.798 2.0  0.006 8.147 -4.0
  280.077 2.0  0.006 8.147 -3.5
  279.393 2.0  0.006 8.147 -3.0
  278.924 2.0  0.006 8.147 -2.5
  278.476 2.0  0.006 8.147 -2.0
  277.675 2.0  0.006 8.147 -1.5
  276.862 2.0  0.006 8.147 -1.0
  280.718 2.0  0.008 8.272 -4.0
  280.134 2.0  0.008 8.272 -3.5
  279.716 2.0  0.008 8.272 -3.0
  279.534 2.0  0.008 8.272 -2.5
  279.201 2.0  0.008 8.272 -2.0
  278.42  2.0  0.008 8.272 -1.5
  277.584 2.0  0.008 8.272 -1.0
  280.779 2.0  0.01  8.369 -4.0
  280.3   2.0  0.01  8.369 -3.5
  280.061 2.0  0.01  8.369 -3.0
  280.098 2.0  0.01  8.369 -2.5
  279.862 2.0  0.01  8.369 -2.0
  279.104 2.0  0.01  8.369 -1.5
  278.242 2.0  0.01  8.369 -1.0
  281.336 2.0  0.014 8.515 -4.0
  281.012 2.0  0.014 8.515 -3.5
  280.946 2.0  0.014 8.515 -3.0
  281.237 2.0  0.014 8.515 -2.5
  281.126 2.0  0.014 8.515 -2.0
