# flux    dens met   OH    logU
  9.557   2.0  0.002 7.67  -4.0
  9.625   2.0  0.002 7.67  -3.5
  6.116   2.0  0.002 7.67  -3.0
  2.636   2.0  0.002 7.67  -2.5
  0.99    2.0  0.002 7.67  -2.0
  0.381   2.0  0.002 7.67  -1.5
  0.168   2.0  0.002 7.67  -1.0
  15.731  2.0  0.003 7.846 -4.0
  15.831  2.0  0.003 7.846 -3.5
  10.161  2.0  0.003 7.846 -3.0
  4.432   2.0  0.003 7.846 -2.5
  1.689   2.0  0.003 7.846 -2.0
  0.672   2.0  0.003 7.846 -1.5
  0.314   2.0  0.003 7.846 -1.0
  22.587  2.0  0.004 7.971 -4.0
  22.777  2.0  0.004 7.971 -3.5
  14.849  2.0  0.004 7.971 -3.0
  6.582   2.0  0.004 7.971 -2.5
  2.545   2.0  0.004 7.971 -2.0
  1.037   2.0  0.004 7.971 -1.5
  0.504   2.0  0.004 7.971 -1.0
  38.044  2.0  0.006 8.147 -4.0
  38.084  2.0  0.006 8.147 -3.5
  25.126  2.0  0.006 8.147 -3.0
  11.398  2.0  0.006 8.147 -2.5
  4.541   2.0  0.006 8.147 -2.0
  1.94    2.0  0.006 8.147 -1.5
  1.005   2.0  0.006 8.147 -1.0
  54.453  2.0  0.008 8.272 -4.0
  54.435  2.0  0.008 8.272 -3.5
  36.784  2.0  0.008 8.272 -3.0
  17.194  2.0  0.008 8.272 -2.5
  7.05    2.0  0.008 8.272 -2.0
  3.105   2.0  0.008 8.272 -1.5
  1.672   2.0  0.008 8.272 -1.0
  70.48   2.0  0.01  8.369 -4.0
  70.917  2.0  0.01  8.369 -3.5
  49.72   2.0  0.01  8.369 -3.0
  24.141  2.0  0.01  8.369 -2.5
  10.191  2.0  0.01  8.369 -2.0
  4.566   2.0  0.01  8.369 -1.5
  2.501   2.0  0.01  8.369 -1.0
  100.492 2.0  0.014 8.515 -4.0
  102.025 2.0  0.014 8.515 -3.5
  76.001  2.0  0.014 8.515 -3.0
  39.671  2.0  0.014 8.515 -2.5
  17.772  2.0  0.014 8.515 -2.0
  8.23    2.0  0.014 8.515 -1.5
  4.636   2.0  0.014 8.515 -1.0
  135.747 2.0  0.02  8.67  -4.0
  140.565 2.0  0.02  8.67  -3.5
  115.071 2.0  0.02  8.67  -3.0
  68.319  2.0  0.02  8.67  -2.5
  33.976  2.0  0.02  8.67  -2.0
  16.205  2.0  0.02  8.67  -1.5
  9.146   2.0  0.02  8.67  -1.0
  190.81  2.0  0.04  8.971 -4.0
  205.316 2.0  0.04  8.971 -3.5
  199.528 2.0  0.04  8.971 -3.0
  163.632 2.0  0.04  8.971 -2.5
  113.249 2.0  0.04  8.971 -2.0
  64.548  2.0  0.04  8.971 -1.5
  35.896  2.0  0.04  8.971 -1.0
  9.762   3.0  0.002 7.67  -4.0
  9.836   3.0  0.002 7.67  -3.5
  6.241   3.0  0.002 7.67  -3.0
  2.687   3.0  0.002 7.67  -2.5
  1.007   3.0  0.002 7.67  -2.0
  0.387   3.0  0.002 7.67  -1.5
  0.171   3.0  0.002 7.67  -1.0
  16.136  3.0  0.003 7.846 -4.0
  16.25   3.0  0.003 7.846 -3.5
  10.416  3.0  0.003 7.846 -3.0
  4.533   3.0  0.003 7.846 -2.5
  1.724   3.0  0.003 7.846 -2.0
  0.685   3.0  0.003 7.846 -1.5
  0.321   3.0  0.003 7.846 -1.0
  23.262  3.0  0.004 7.971 -4.0
  23.494  3.0  0.004 7.971 -3.5
  15.292  3.0  0.004 7.971 -3.0
  6.757   3.0  0.004 7.971 -2.5
  2.604   3.0  0.004 7.971 -2.0
  1.059   3.0  0.004 7.971 -1.5
  0.516   3.0  0.004 7.971 -1.0
  39.544  3.0  0.006 8.147 -4.0
  39.686  3.0  0.006 8.147 -3.5
  26.181  3.0  0.006 8.147 -3.0
  11.833  3.0  0.006 8.147 -2.5
