# flux     dens met   OH    logU
  3.336    2.0  0.002 7.67  -4.0
  31.071   2.0  0.002 7.67  -3.5
  137.027  2.0  0.002 7.67  -3.0
  264.248  2.0  0.002 7.67  -2.5
  355.714  2.0  0.002 7.67  -2.0
  418.918  2.0  0.002 7.67  -1.5
  467.722  2.0  0.002 7.67  -1.0
  4.371    2.0  0.003 7.846 -4.0
  40.023   2.0  0.003 7.846 -3.5
  174.931  2.0  0.003 7.846 -3.0
  333.836  2.0  0.003 7.846 -2.5
  443.496  2.0  0.003 7.846 -2.0
  520.312  2.0  0.003 7.846 -1.5
  587.422  2.0  0.003 7.846 -1.0
  4.841    2.0  0.004 7.971 -4.0
  43.822   2.0  0.004 7.971 -3.5
  192.925  2.0  0.004 7.971 -3.0
  370.723  2.0  0.004 7.971 -2.5
  492.815  2.0  0.004 7.971 -2.0
  581.105  2.0  0.004 7.971 -1.5
  665.719  2.0  0.004 7.971 -1.0
  5.702    2.0  0.006 8.147 -4.0
  49.725   2.0  0.006 8.147 -3.5
  214.33   2.0  0.006 8.147 -3.0
  410.712  2.0  0.006 8.147 -2.5
  549.146  2.0  0.006 8.147 -2.0
  657.762  2.0  0.006 8.147 -1.5
  775.519  2.0  0.006 8.147 -1.0
  5.585    2.0  0.008 8.272 -4.0
  47.597   2.0  0.008 8.272 -3.5
  206.66   2.0  0.008 8.272 -3.0
  403.309  2.0  0.008 8.272 -2.5
  549.718  2.0  0.008 8.272 -2.0
  673.158  2.0  0.008 8.272 -1.5
  816.686  2.0  0.008 8.272 -1.0
  4.718    2.0  0.01  8.369 -4.0
  39.868   2.0  0.01  8.369 -3.5
  180.572  2.0  0.01  8.369 -3.0
  367.723  2.0  0.01  8.369 -2.5
  517.343  2.0  0.01  8.369 -2.0
  650.99   2.0  0.01  8.369 -1.5
  811.218  2.0  0.01  8.369 -1.0
  3.422    2.0  0.014 8.515 -4.0
  28.299   2.0  0.014 8.515 -3.5
  135.209  2.0  0.014 8.515 -3.0
  293.373  2.0  0.014 8.515 -2.5
  436.948  2.0  0.014 8.515 -2.0
  581.867  2.0  0.014 8.515 -1.5
  764.763  2.0  0.014 8.515 -1.0
  1.751    2.0  0.02  8.67  -4.0
  14.226   2.0  0.02  8.67  -3.5
  74.677   2.0  0.02  8.67  -3.0
  184.033  2.0  0.02  8.67  -2.5
  300.873  2.0  0.02  8.67  -2.0
  442.003  2.0  0.02  8.67  -1.5
  632.796  2.0  0.02  8.67  -1.0
  0.316    2.0  0.04  8.971 -4.0
  2.27     2.0  0.04  8.971 -3.5
  12.531   2.0  0.04  8.971 -3.0
  39.889   2.0  0.04  8.971 -2.5
  75.047   2.0  0.04  8.971 -2.0
  132.409  2.0  0.04  8.971 -1.5
  263.528  2.0  0.04  8.971 -1.0
  3.422    3.0  0.002 7.67  -4.0
  31.857   3.0  0.002 7.67  -3.5
  139.901  3.0  0.002 7.67  -3.0
  268.473  3.0  0.002 7.67  -2.5
  359.681  3.0  0.002 7.67  -2.0
  422.041  3.0  0.002 7.67  -1.5
  471.332  3.0  0.002 7.67  -1.0
  4.514    3.0  0.003 7.846 -4.0
  41.403   3.0  0.003 7.846 -3.5
  180.871  3.0  0.003 7.846 -3.0
  343.628  3.0  0.003 7.846 -2.5
  454.545  3.0  0.003 7.846 -2.0
  530.571  3.0  0.003 7.846 -1.5
  597.689  3.0  0.003 7.846 -1.0
  5.036    3.0  0.004 7.971 -4.0
  45.795   3.0  0.004 7.971 -3.5
  202.158  3.0  0.004 7.971 -3.0
  387.634  3.0  0.004 7.971 -2.5
  512.731  3.0  0.004 7.971 -2.0
  600.468  3.0  0.004 7.971 -1.5
  685.009  3.0  0.004 7.971 -1.0
  6.025    3.0  0.006 8.147 -4.0
  53.018   3.0  0.006 8.147 -3.5
  230.955  3.0  0.006 8.147 -3.0
  443.653  3.0  0.006 8.147 -2.5
  589.345  3.0  0.006 8.147 -2.0
  697.764  3.0  0.006 8.147 -1.5
  815.17   3.0  0.006 8.147 -1.0
  6.008    3.0  0.008 8.272 -4.0
  51.793   3.0  0.008 8.272 -3.5
  229.128  3.0  0.008 8.272 -3.0
  451.709  3.0  0.008 8.272 -2.5
  611.253  3.0  0.008 8.272 -2.0
  736.715  3.0  0.008 8.272 -1.5
  879.649  3.0  0.008 8.272 -1.0
  5.168    3.0  0.01  8.369 -4.0
  44.239   3.0  0.01  8.369 -3.5
  205.663  3.0  0.01  8.369 -3.0
  428.113  3.0  0.01  8.369 -2.5
  598.717  3.0  0.01  8.369 -2.0
  738.024  3.0  0.01  8.369 -1.5
  900.091  3.0  0.01  8.369 -1.0
  3.865    3.0  0.014 8.515 -4.0
  32.44    3.0  0.014 8.515 -3.5
  161.612  3.0  0.014 8.515 -3.0
  369.409  3.0  0.014 8.515 -2.5
  551.41   3.0  0.014 8.515 -2.0
  712.117  3.0  0.014 8.515 -1.5
  902.432  3.0  0.014 8.515 -1.0
  2.064    3.0  0.02  8.67  -4.0
  17.0     3.0  0.02  8.67  -3.5
  94.743   3.0  0.02  8.67  -3.0
  258.932  3.0  0.02  8.67  -2.5
  440.294  3.0  0.02  8.67  -2.0
  621.666  3.0  0.02  8.67  -1.5
  836.531  3.0  0.02  8.67  -1.0
  0.43     3.0  0.04  8.971 -4.0
  3.165    3.0  0.04  8.971 -3.5
  19.225   3.0  0.04  8.971 -3.0
  77.598   3.0  0.04  8.971 -2.5
  188.753  3.0  0.04  8.971 -2.0
  348.791  3.0  0.04  8.971 -1.5
  585.123  3.0  0.04  8.971 -1.0
  3.527    4.0  0.002 7.67  -4.0
  32.88    4.0  0.002 7.67  -3.5
  142.134  4.0  0.002 7.67  -3.0
  267.594  4.0  0.002 7.67  -2.5
  356.352  4.0  0.002 7.67  -2.0
  420.886  4.0  0.002 7.67  -1.5
  476.083  4.0  0.002 7.67  -1.0
  4.732    4.0  0.003 7.846 -4.0
  43.687   4.0  0.003 7.846 -3.5
  187.083  4.0  0.003 7.846 -3.0
  347.414  4.0  0.003 7.846 -2.5
  456.138  4.0  0.003 7.846 -2.0
  536.037  4.0  0.003 7.846 -1.5
  610.426  4.0  0.003 7.846 -1.0
  5.383    4.0  0.004 7.971 -4.0
  49.438   4.0  0.004 7.971 -3.5
  213.76   4.0  0.004 7.971 -3.0
  398.675  4.0  0.004 7.971 -2.5
  522.398  4.0  0.004 7.971 -2.0
  615.545  4.0  0.004 7.971 -1.5
  708.152  4.0  0.004 7.971 -1.0
  6.687    4.0  0.006 8.147 -4.0
  59.874   4.0  0.006 8.147 -3.5
  254.317  4.0  0.006 8.147 -3.0
  471.818  4.0  0.006 8.147 -2.5
  618.373  4.0  0.006 8.147 -2.0
  734.677  4.0  0.006 8.147 -1.5
  861.438  4.0  0.006 8.147 -1.0
  6.943    4.0  0.008 8.272 -4.0
  61.063   4.0  0.008 8.272 -3.5
  263.013  4.0  0.008 8.272 -3.0
  498.523  4.0  0.008 8.272 -2.5
  662.142  4.0  0.008 8.272 -2.0
  796.999  4.0  0.008 8.272 -1.5
  951.686  4.0  0.008 8.272 -1.0
  6.216    4.0  0.01  8.369 -4.0
  54.415   4.0  0.01  8.369 -3.5
  246.529  4.0  0.01  8.369 -3.0
  492.026  4.0  0.01  8.369 -2.5
  671.569  4.0  0.01  8.369 -2.0
  822.187  4.0  0.01  8.369 -1.5
  998.182  4.0  0.01  8.369 -1.0
  4.97     4.0  0.014 8.515 -4.0
  42.683   4.0  0.014 8.515 -3.5
  208.361  4.0  0.014 8.515 -3.0
  457.734  4.0  0.014 8.515 -2.5
  662.593  4.0  0.014 8.515 -2.0
  840.21   4.0  0.014 8.515 -1.5
  1048.415 4.0  0.014 8.515 -1.0
  2.84     4.0  0.02  8.67  -4.0
  23.943   4.0  0.02  8.67  -3.5
  133.557  4.0  0.02  8.67  -3.0
  357.497  4.0  0.02  8.67  -2.5
  589.35   4.0  0.02  8.67  -2.0
  802.905  4.0  0.02  8.67  -1.5
  1043.562 4.0  0.02  8.67  -1.0
  0.66     4.0  0.04  8.971 -4.0
  5.017    4.0  0.04  8.971 -3.5
  32.139   4.0  0.04  8.971 -3.0
  137.647  4.0  0.04  8.971 -2.5
  341.653  4.0  0.04  8.971 -2.0
  603.823  4.0  0.04  8.971 -1.5
  918.516  4.0  0.04  8.971 -1.0
