# flux  dens met   OH    logU
  0.508 2.0  0.002 7.67  -4.0
  0.448 2.0  0.002 7.67  -3.5
  0.34  2.0  0.002 7.67  -3.0
  0.198 2.0  0.002 7.67  -2.5
  0.088 2.0  0.002 7.67  -2.0
  0.033 2.0  0.002 7.67  -1.5
  0.013 2.0  0.002 7.67  -1.0
  0.744 2.0  0.003 7.846 -4.0
  0.654 2.0  0.003 7.846 -3.5
  0.494 2.0  0.003 7.846 -3.0
  0.287 2.0  0.003 7.846 -2.5
  0.13  2.0  0.003 7.846 -2.0
  0.051 2.0  0.003 7.846 -1.5
  0.021 2.0  0.003 7.846 -1.0
  0.963 2.0  0.004 7.971 -4.0
  0.847 2.0  0.004 7.971 -3.5
  0.638 2.0  0.004 7.971 -3.0
  0.371 2.0  0.004 7.971 -2.5
  0.171 2.0  0.004 7.971 -2.0
  0.071 2.0  0.004 7.971 -1.5
  0.031 2.0  0.004 7.971 -1.0
  1.372 2.0  0.006 8.147 -4.0
  1.199 2.0  0.006 8.147 -3.5
  0.895 2.0  0.006 8.147 -3.0
  0.522 2.0  0.006 8.147 -2.5
  0.248 2.0  0.006 8.147 -2.0
  0.109 2.0  0.006 8.147 -1.5
  0.052 2.0  0.006 8.147 -1.0
  1.724 2.0  0.008 8.272 -4.0
  1.5   2.0  0.008 8.272 -3.5
  1.119 2.0  0.008 8.272 -3.0
  0.658 2.0  0.008 8.272 -2.5
  0.323 2.0  0.008 8.272 -2.0
  0.15  2.0  0.008 8.272 -1.5
  0.075 2.0  0.008 8.272 -1.0
  2.013 2.0  0.01  8.369 -4.0
  1.754 2.0  0.01  8.369 -3.5
  1.315 2.0  0.01  8.369 -3.0
  0.782 2.0  0.01  8.369 -2.5
  0.395 2.0  0.01  8.369 -2.0
  0.193 2.0  0.01  8.369 -1.5
  0.102 2.0  0.01  8.369 -1.0
  2.471 2.0  0.014 8.515 -4.0
  2.157 2.0  0.014 8.515 -3.5
  1.638 2.0  0.014 8.515 -3.0
  0.994 2.0  0.014 8.515 -2.5
