# flux    dens met   OH    logU
  6.89    2.0  0.002 7.67  -4.0
  13.99   2.0  0.002 7.67  -3.5
  21.615  2.0  0.002 7.67  -3.0
  25.884  2.0  0.002 7.67  -2.5
  24.382  2.0  0.002 7.67  -2.0
  17.207  2.0  0.002 7.67  -1.5
  9.463   2.0  0.002 7.67  -1.0
  9.881   2.0  0.003 7.846 -4.0
  19.886  2.0  0.003 7.846 -3.5
  30.191  2.0  0.003 7.846 -3.0
  35.581  2.0  0.003 7.846 -2.5
  33.536  2.0  0.003 7.846 -2.0
  24.339  2.0  0.003 7.846 -1.5
  14.193  2.0  0.003 7.846 -1.0
  12.535  2.0  0.004 7.971 -4.0
  25.033  2.0  0.004 7.971 -3.5
  37.423  2.0  0.004 7.971 -3.0
  43.627  2.0  0.004 7.971 -2.5
  41.613  2.0  0.004 7.971 -2.0
  31.466  2.0  0.004 7.971 -1.5
  19.521  2.0  0.004 7.971 -1.0
  17.078  2.0  0.006 8.147 -4.0
  33.539  2.0  0.006 8.147 -3.5
  48.925  2.0  0.006 8.147 -3.0
  56.017  2.0  0.006 8.147 -2.5
  53.917  2.0  0.006 8.147 -2.0
  42.607  2.0  0.006 8.147 -1.5
  28.431  2.0  0.006 8.147 -1.0
  20.365  2.0  0.008 8.272 -4.0
  39.566  2.0  0.008 8.272 -3.5
  56.976  2.0  0.008 8.272 -3.0
  64.568  2.0  0.008 8.272 -2.5
  63.147  2.0  0.008 8.272 -2.0
  52.396  2.0  0.008 8.272 -1.5
  37.395  2.0  0.008 8.272 -1.0
  22.603  2.0  0.01  8.369 -4.0
  43.719  2.0  0.01  8.369 -3.5
  62.825  2.0  0.01  8.369 -3.0
  70.798  2.0  0.01  8.369 -2.5
  70.543  2.0  0.01  8.369 -2.0
  61.791  2.0  0.01  8.369 -1.5
  47.264  2.0  0.01  8.369 -1.0
  24.783  2.0  0.014 8.515 -4.0
  47.946  2.0  0.014 8.515 -3.5
  69.606  2.0  0.014 8.515 -3.0
  78.238  2.0  0.014 8.515 -2.5
  79.421  2.0  0.014 8.515 -2.0
  74.487  2.0  0.014 8.515 -1.5
  62.73   2.0  0.014 8.515 -1.0
  24.236  2.0  0.02  8.67  -4.0
  47.705  2.0  0.02  8.67  -3.5
  72.262  2.0  0.02  8.67  -3.0
  83.398  2.0  0.02  8.67  -2.5
  85.888  2.0  0.02  8.67  -2.0
  86.299  2.0  0.02  8.67  -1.5
  82.193  2.0  0.02  8.67  -1.0
  15.897  2.0  0.04  8.971 -4.0
  33.058  2.0  0.04  8.971 -3.5
  57.978  2.0  0.04  8.971 -3.0
  79.284  2.0  0.04  8.971 -2.5
  87.056  2.0  0.04  8.971 -2.0
  89.78   2.0  0.04  8.971 -1.5
  98.745  2.0  0.04  8.971 -1.0
  7.097   3.0  0.002 7.67  -4.0
  14.383  3.0  0.002 7.67  -3.5
  22.139  3.0  0.002 7.67  -3.0
  26.408  3.0  0.002 7.67  -2.5
  24.742  3.0  0.002 7.67  -2.0
  17.338  3.0  0.002 7.67  -1.5
  9.49    3.0  0.002 7.67  -1.0
  10.22   3.0  0.003 7.846 -4.0
  20.552  3.0  0.003 7.846 -3.5
  31.156  3.0  0.003 7.846 -3.0
  36.614  3.0  0.003 7.846 -2.5
  34.36   3.0  0.003 7.846 -2.0
  24.764  3.0  0.003 7.846 -1.5
  14.365  3.0  0.003 7.846 -1.0
  13.026  3.0  0.004 7.971 -4.0
  26.032  3.0  0.004 7.971 -3.5
  38.923  3.0  0.004 7.971 -3.0
  45.339  3.0  0.004 7.971 -2.5
  43.075  3.0  0.004 7.971 -2.0
  32.334  3.0  0.004 7.971 -1.5
  19.94   3.0  0.004 7.971 -1.0
  17.926  3.0  0.006 8.147 -4.0
  35.304  3.0  0.006 8.147 -3.5
  51.727  3.0  0.006 8.147 -3.0
  59.398  3.0  0.006 8.147 -2.5
  56.968  3.0  0.006 8.147 -2.0
  44.599  3.0  0.006 8.147 -1.5
  29.514  3.0  0.006 8.147 -1.0
  21.604  3.0  0.008 8.272 -4.0
  42.172  3.0  0.008 8.272 -3.5
  61.23   3.0  0.008 8.272 -3.0
  69.929  3.0  0.008 8.272 -2.5
  68.221  3.0  0.008 8.272 -2.0
  55.993  3.0  0.008 8.272 -1.5
  39.489  3.0  0.008 8.272 -1.0
  24.262  3.0  0.01  8.369 -4.0
  47.153  3.0  0.01  8.369 -3.5
  68.499  3.0  0.01  8.369 -3.0
  78.317  3.0  0.01  8.369 -2.5
  78.015  3.0  0.01  8.369 -2.0
  67.492  3.0  0.01  8.369 -1.5
  50.91   3.0  0.01  8.369 -1.0
  27.16   3.0  0.014 8.515 -4.0
  52.803  3.0  0.014 8.515 -3.5
  77.944  3.0  0.014 8.515 -3.0
  90.189  3.0  0.014 8.515 -2.5
  92.236  3.0  0.014 8.515 -2.0
  85.147  3.0  0.014 8.515 -1.5
  70.122  3.0  0.014 8.515 -1.0
  27.35   3.0  0.02  8.67  -4.0
  54.028  3.0  0.02  8.67  -3.5
  83.624  3.0  0.02  8.67  -3.0
  101.182 3.0  0.02  8.67  -2.5
  107.406 3.0  0.02  8.67  -2.0
  106.62  3.0  0.02  8.67  -1.5
  98.124  3.0  0.02  8.67  -1.0
  19.718  3.0  0.04  8.971 -4.0
  41.182  3.0  0.04  8.971 -3.5
  74.004  3.0  0.04  8.971 -3.0
  108.16  3.0  0.04  8.971 -2.5
  130.502 3.0  0.04  8.971 -2.0
  143.113 3.0  0.04  8.971 -1.5
  152.161 3.0  0.04  8.971 -1.0
  7.592   4.0  0.002 7.67  -4.0
  15.323  4.0  0.002 7.67  -3.5
  23.312  4.0  0.002 7.67  -3.0
  27.432  4.0  0.002 7.67  -2.5
  25.483  4.0  0.002 7.67  -2.0
  17.801  4.0  0.002 7.67  -1.5
  9.775   4.0  0.002 7.67  -1.0
  11.046  4.0  0.003 7.846 -4.0
  22.178  4.0  0.003 7.846 -3.5
  33.173  4.0  0.003 7.846 -3.0
  38.412  4.0  0.003 7.846 -2.5
  35.746  4.0  0.003 7.846 -2.0
  25.712  4.0  0.003 7.846 -1.5
  14.962  4.0  0.003 7.846 -1.0
  14.248  4.0  0.004 7.971 -4.0
  28.469  4.0  0.004 7.971 -3.5
  41.993  4.0  0.004 7.971 -3.0
  48.102  4.0  0.004 7.971 -2.5
  45.299  4.0  0.004 7.971 -2.0
