logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-4.0 2.0 0.002 7.67 3.46 0.0 0.554 3.021 100.0 3.336 281.783 9.557 0.818 6.89 23.663 8.655 0.508 0.979 15.435 0.259 0.828 30.285
-3.5 2.0 0.002 7.67 4.55 0.014 0.821 10.827 100.0 31.071 280.979 9.625 0.22 13.99 24.806 8.55 0.448 0.48 15.24 0.127 0.406 29.794
-3.0 2.0 0.002 7.67 5.124 0.284 0.931 26.282 100.0 137.027 279.726 6.116 0.046 21.615 25.549 8.479 0.34 0.202 15.087 0.053 0.171 29.404
-2.5 2.0 0.002 7.67 5.13 1.498 1.014 45.685 100.0 264.248 278.404 2.636 0.008 25.884 26.028 8.433 0.198 0.079 14.971 0.021 0.067 29.111
-2.0 2.0 0.002 7.67 4.92 4.525 1.157 64.945 100.0 355.714 277.288 0.99 0.001 24.382 26.088 8.397 0.088 0.032 14.874 0.009 0.027 28.862
-1.5 2.0 0.002 7.67 4.708 7.522 1.476 76.155 100.0 418.918 276.368 0.381 0.0 17.207 25.308 8.367 0.033 0.014 14.799 0.004 0.012 28.654
-1.0 2.0 0.002 7.67 4.461 9.871 2.231 73.301 100.0 467.722 275.401 0.168 0.0 9.463 23.542 8.336 0.013 0.007 14.727 0.002 0.006 28.457
-4.0 2.0 0.003 7.846 4.178 0.0 0.473 3.832 100.0 4.371 281.436 15.731 1.145 9.881 23.385 8.702 0.744 1.456 15.505 0.385 1.231 30.436
-3.5 2.0 0.003 7.846 5.468 0.016 0.7 13.22 100.0 40.023 280.592 15.831 0.309 19.886 24.614 8.611 0.654 0.718 15.33 0.19 0.607 29.992
-3.0 2.0 0.003 7.846 6.072 0.324 0.795 29.977 100.0 174.931 279.437 10.161 0.064 30.191 25.361 8.557 0.494 0.302 15.206 0.08 0.256 29.674
-2.5 2.0 0.003 7.846 6.049 1.431 0.871 48.662 100.0 333.836 278.364 4.432 0.011 35.581 25.771 8.526 0.287 0.118 15.123 0.031 0.1 29.46
-2.0 2.0 0.003 7.846 5.856 3.734 1.009 66.685 100.0 443.496 277.517 1.689 0.002 33.536 25.777 8.501 0.13 0.048 15.052 0.013 0.041 29.27
-1.5 2.0 0.003 7.846 5.714 5.816 1.329 79.432 100.0 520.312 276.662 0.672 0.0 24.339 25.089 8.472 0.051 0.022 14.982 0.006 0.019 29.075
-1.0 2.0 0.003 7.846 5.602 8.344 2.104 82.295 100.0 587.422 275.797 0.314 0.0 14.193 23.777 8.435 0.021 0.012 14.903 0.003 0.01 28.856
-4.0 2.0 0.004 7.971 4.663 0.0 0.192 4.225 100.0 4.841 281.11 22.587 1.439 12.535 23.013 8.747 0.963 1.913 15.576 0.506 1.618 30.589
-3.5 2.0 0.004 7.971 6.083 0.015 0.273 14.097 100.0 43.822 280.282 22.777 0.39 25.033 24.364 8.668 0.847 0.95 15.417 0.251 0.803 30.185
-3.0 2.0 0.004 7.971 6.722 0.303 0.316 30.074 100.0 192.925 279.289 14.849 0.081 37.423 25.13 8.626 0.638 0.4 15.319 0.106 0.338 29.931
-2.5 2.0 0.004 7.971 6.735 1.244 0.364 46.083 100.0 370.723 278.464 6.582 0.014 43.627 25.497 8.608 0.371 0.155 15.263 0.041 0.131 29.785
-2.0 2.0 0.004 7.971 6.638 2.826 0.453 61.891 100.0 492.815 277.82 2.545 0.002 41.613 25.471 8.591 0.171 0.063 15.211 0.017 0.053 29.64
-1.5 2.0 0.004 7.971 6.679 4.428 0.648 76.224 100.0 581.105 277.0 1.037 0.0 31.466 24.874 8.562 0.071 0.03 15.144 0.008 0.025 29.45
-1.0 2.0 0.004 7.971 6.848 6.593 1.107 86.082 100.0 665.719 276.191 0.504 0.0 19.521 23.894 8.521 0.031 0.016 15.059 0.004 0.014 29.211
-4.0 2.0 0.006 8.147 5.291 0.0 0.123 4.517 100.0 5.702 280.798 38.044 1.972 17.078 22.577 8.811 1.372 2.852 15.684 0.754 2.412 30.829
-3.5 2.0 0.006 8.147 6.835 0.015 0.173 14.033 100.0 49.725 280.077 38.084 0.534 33.539 23.983 8.747 1.199 1.44 15.553 0.381 1.218 30.492
-3.0 2.0 0.006 8.147 7.575 0.306 0.202 27.214 100.0 214.33 279.393 25.126 0.111 48.925 24.708 8.723 0.895 0.608 15.492 0.161 0.514 30.334
-2.5 2.0 0.006 8.147 7.764 1.11 0.24 38.693 100.0 410.712 278.924 11.398 0.019 56.017 24.987 8.719 0.522 0.233 15.471 0.062 0.197 30.277
-2.0 2.0 0.006 8.147 7.907 2.135 0.312 50.918 100.0 549.146 278.476 4.541 0.003 53.917 24.928 8.709 0.248 0.095 15.439 0.025 0.081 30.175
-1.5 2.0 0.006 8.147 8.314 3.371 0.473 65.721 100.0 657.762 277.675 1.94 0.001 42.607 24.47 8.678 0.109 0.047 15.371 0.012 0.04 29.98
-1.0 2.0 0.006 8.147 8.994 5.597 0.856 82.668 100.0 775.519 276.862 1.005 0.0 28.431 23.924 8.632 0.052 0.027 15.276 0.007 0.023 29.7
